ticker,date,period_ending,estimate,reported,surprise,surprise%,group
AJG,2021-04-29,21-Mar,1.83,2.02,0.19,10.38,2
AKAM,2021-05-04,21-Mar,1.3,1.38,0.08,6.15,2
AL,2021-05-06,21-Mar,1.01,0.7,-0.31,-30.69,3
ALB,2021-05-05,21-Mar,0.79,1.1,0.31,39.24,1
ALGN,2021-04-28,21-Mar,1.99,2.49,0.5,25.13,1
ALK,2021-04-22,21-Mar,-3.71,-3.51,0.2,5.39,3
ALL,2021-05-05,21-Mar,3.85,6.11,2.26,58.7,1
ALLE,2021-04-22,21-Mar,1.02,1.2,0.18,17.65,2
ALLY,2021-04-16,21-Mar,1.18,2.09,0.91,77.12,1
ALNY,2021-04-29,21-Mar,-1.75,-1.71,0.04,2.29,3
ALSN,2021-04-28,21-Mar,0.9,1.07,0.17,18.89,2
AM,2021-04-28,21-Mar,0.22,0.21,-0.01,-4.55,3
AMAT,2021-05-20,21-Apr,1.51,1.63,0.12,7.95,2
AMD,2021-04-27,21-Mar,0.44,0.52,0.08,18.18,2
AME,2021-05-04,21-Mar,1.02,1.07,0.05,4.9,3
AMED,2021-04-28,21-Mar,1.43,1.54,0.11,7.69,2
AMG,2021-05-03,21-Mar,4.26,4.28,0.02,0.47,3
AMGN,2021-04-27,21-Mar,4,3.7,-0.3,-7.5,3
AMH,2021-05-06,21-Mar,0.31,0.09,-0.22,-70.97,3
AMP,2021-04-26,21-Mar,4.73,5.43,0.7,14.8,2
AMT,2021-04-29,21-Mar,2.32,1.45,-0.87,-37.5,3
AMZN,2021-04-29,21-Mar,9.75,15.79,6.04,61.95,1
AN,2021-04-20,21-Mar,1.8,2.79,0.99,55,1
ANET,2021-05-04,21-Mar,2.38,2.5,0.12,5.04,3
ANSS,2021-05-05,21-Mar,0.85,1.12,0.27,31.76,1
ANTM,2021-04-21,21-Mar,6.86,7.01,0.15,2.19,3
AON,2021-04-30,21-Mar,4.04,4.28,0.24,5.94,3
AOS,2021-04-29,21-Mar,0.56,0.6,0.04,7.14,2
APA,2021-05-05,21-Mar,0.74,0.91,0.17,22.97,2
APD,2021-05-10,21-Mar,2.13,2.08,-0.05,-2.35,3
APH,2021-04-28,21-Mar,0.47,0.52,0.05,10.64,2
APO,2021-05-04,21-Mar,0.59,0.66,0.07,11.86,2
APTV,2021-05-06,21-Mar,0.77,1.06,0.29,37.66,1
ARE,2021-04-26,21-Mar,1.85,0.04,-1.81,-97.84,3
ARES,2021-04-29,21-Mar,0.51,0.46,-0.05,-9.8,3
ARMK,2021-05-11,21-Mar,-0.35,-0.24,0.11,31.43,1
ARW,2021-05-06,21-Mar,2.27,2.84,0.57,25.11,1
ASH,2021-04-28,21-Mar,1.36,1.05,-0.31,-22.79,3
ATH,2021-05-07,21-Mar,2.15,3.8,1.65,76.74,1
ATO,2021-05-05,21-Mar,2.05,2.3,0.25,12.2,2
ATR,2021-04-29,21-Mar,0.9,1.09,0.19,21.11,2
ATUS,2021-04-28,21-Mar,0.29,0.58,0.29,100,1
ATVI,2021-05-04,21-Mar,0.69,0.84,0.15,21.74,2
AVB,2021-04-28,21-Mar,1.94,1.02,-0.92,-47.42,3
AVGO,2021-06-03,21-Apr,6.44,6.62,0.18,2.8,3
AVLR,2021-05-06,21-Mar,-0.11,-0.08,0.03,27.27,1
AVT,2021-04-28,21-Mar,0.56,0.74,0.18,32.14,1
AVTR,2021-04-28,21-Mar,0.28,0.35,0.07,25,1
AVY,2021-04-28,21-Mar,2.01,2.4,0.39,19.4,2
AWI,2021-04-27,21-Mar,0.96,0.84,-0.12,-12.5,3
AWK,2021-05-03,21-Mar,0.73,0.73,0,0,3
AXON,2021-05-06,21-Mar,0.21,0.31,0.1,47.62,1
